"","ID","Filial","Cidade","Tipo de consumidor","Gênero","Linha de produto","Preço Unitário","Quantidade","Imposto","Total","Data","Hora","Pagamento","Porcentagem de renda","Avaliação"
"121","638-60-7125","A","Yangon","Normal","Feminino","Acessórios eletrônicos",528.6636,8,211.46544,4269.1328,"2/14/2019","17:03","Cartão de crédito",39.824,5.2
"122","659-36-1684","C","Naypyitaw","Membro","Masculino","Viagens e sports",303.3072,7,106.15752,2143.1424,"01/12/2019","12:02","Cartão de crédito",19.992,6.5
"123","219-22-9386","B","Mandalay","Membro","Masculino","Viagens e sports",530.7876,9,238.85442,4822.0704,"03/09/2019","17:26","Cartão de crédito",44.982,4.2
"124","336-78-2147","C","Naypyitaw","Membro","Masculino","Lar e estilo de vida",339.3621,8,135.74484,2740.4608,"3/13/2019","19:52","Cartão de crédito",25.564,4.6
"125","268-27-6179","B","Mandalay","Membro","Feminino","Acessórios de moda",299.8557,8,119.94228,2421.4336,"03/09/2019","14:57","Carteira eletrônica",22.588,7.3
"126","668-90-8900","A","Yangon","Normal","Feminino","Lar e estilo de vida",497.4939,7,1741.22865,3810.3723,"03/10/2019","18:44","Cartão de crédito",327.915,4.5
"127","870-54-3162","A","Yangon","Normal","Feminino","Viagens e sports",171.2475,5,428.11875,936.8625,"1/27/2019","13:26","Dinheiro",80.625,9
"128","189-08-9157","C","Naypyitaw","Normal","Feminino","Acessórios de moda",168.4863,9,758.18835,1659.1617,"01/08/2019","16:17","Cartão de crédito",142.785,5.9
"129","663-86-9076","C","Naypyitaw","Membro","Feminino","Acessórios de moda",363.9474,8,145.57896,2938.9952,"01/08/2019","15:57","Carteira eletrônica",27.416,8.5
"130","549-84-7482","B","Mandalay","Normal","Feminino","Viagens e sports",479.3868,9,215.72406,4355.1072,"02/08/2019","11:15","Carteira eletrônica",40.626,7.2
"131","191-10-6171","B","Mandalay","Normal","Feminino","Acessórios de moda",210.3822,7,73.63377,1486.5424,"1/25/2019","13:18","Dinheiro",13.867,7.5
"132","802-70-5316","A","Yangon","Membro","Feminino","Viagens e sports",489.2103,6,146.76309,2962.9008,"03/06/2019","20:34","Dinheiro",27.639,8.3
"133","695-51-0018","B","Mandalay","Normal","Feminino","Viagens e sports",185.0004,4,37.00008,746.9696,"02/10/2019","18:36","Dinheiro",6.968,7.4
"134","590-83-4591","B","Mandalay","Membro","Masculino","Acessórios eletrônicos",464.3595,6,139.30785,2812.392,"2/17/2019","14:40","Cartão de crédito",26.235,8.8
"135","483-71-1164","C","Naypyitaw","Normal","Feminino","Saúde e beleza",431.703,6,129.5109,2614.608,"03/08/2019","16:43","Carteira eletrônica",24.39,5.3
"136","597-78-7908","C","Naypyitaw","Normal","Masculino","Acessórios de moda",479.0682,3,71.86023,1450.7376,"2/18/2019","19:39","Dinheiro",13.533,6.2
"137","700-81-1757","A","Yangon","Normal","Feminino","Acessórios eletrônicos",139.7061,5,349.26525,764.3055,"1/18/2019","20:59","Cartão de crédito",65.775,8.8
"138","354-39-5160","A","Yangon","Membro","Feminino","Lar e estilo de vida",182.7702,6,54.83106,1106.9472,"2/18/2019","15:39","Dinheiro",10.326,9.8
"139","241-72-9525","B","Mandalay","Normal","Masculino","Viagens e sports",275.6421,10,137.82105,2782.376,"2/16/2019","12:21","Dinheiro",25.955,8.2
"140","575-30-8091","A","Yangon","Normal","Masculino","Viagens e sports",384.975,8,153.99,3108.8,"3/16/2019","19:25","Carteira eletrônica",29,9.2
"141","731-81-9469","C","Naypyitaw","Membro","Feminino","Viagens e sports",476.838,10,238.419,4813.28,"1/23/2019","13:00","Cartão de crédito",44.9,5.4
"142","280-17-4359","C","Naypyitaw","Membro","Masculino","Saúde e beleza",480.555,10,240.2775,4850.8,"1/25/2019","13:48","Dinheiro",45.25,8.1
"143","338-65-2210","C","Naypyitaw","Membro","Feminino","Saúde e beleza",364.266,10,182.133,3676.96,"02/05/2019","19:57","Dinheiro",34.3,9.1
"144","488-25-4221","C","Naypyitaw","Membro","Feminino","Acessórios de moda",161.4771,1,80.73855,176.6821,"2/22/2019","10:36","Cartão de crédito",15.205,8.4
"145","239-10-7476","A","Yangon","Normal","Feminino","Lar e estilo de vida",413.9145,6,124.17435,2506.872,"1/21/2019","16:37","Carteira eletrônica",23.385,8
"146","458-41-1477","C","Naypyitaw","Normal","Feminino","Saúde e beleza",245.6406,6,73.69218,1487.7216,"03/08/2019","17:11","Cartão de crédito",13.878,9.5
"147","685-64-1609","A","Yangon","Membro","Feminino","Acessórios de moda",160.0434,10,80.0217,1615.504,"02/10/2019","12:28","Carteira eletrônica",15.07,9.2
"148","568-90-5112","C","Naypyitaw","Normal","Masculino","Saúde e beleza",351.2034,4,70.24068,1418.0416,"3/19/2019","12:46","Cartão de crédito",13.228,5.6
"149","262-47-2794","B","Mandalay","Membro","Masculino","Lar e estilo de vida",381.5766,8,152.63064,3081.3568,"03/06/2019","15:07","Cartão de crédito",28.744,6.2
"150","238-49-0436","A","Yangon","Normal","Masculino","Saúde e beleza",172.3626,8,68.94504,1391.8848,"3/27/2019","13:48","Cartão de crédito",12.984,4.9
"151","608-96-3517","B","Mandalay","Membro","Feminino","Acessórios de moda",486.0774,4,97.21548,1962.6176,"3/23/2019","19:20","Cartão de crédito",18.308,4.8
"152","584-86-7256","C","Naypyitaw","Membro","Masculino","Viagens e sports",183.5136,7,64.22976,1296.6912,"03/11/2019","16:07","Cartão de crédito",12.096,7.3
"153","746-94-0204","A","Yangon","Normal","Masculino","Acessórios de moda",442.0044,9,198.90198,4015.4976,"1/29/2019","11:56","Cartão de crédito",37.458,7.4
"154","214-17-6927","C","Naypyitaw","Normal","Feminino","Acessórios de moda",87.5088,6,26.25264,529.9968,"02/07/2019","18:23","Carteira eletrônica",4.944,9.9
"155","400-89-4171","C","Naypyitaw","Normal","Feminino","Viagens e sports",429.9507,8,171.98028,3471.9936,"1/28/2019","13:05","Dinheiro",32.388,9.3
"156","782-95-9291","A","Yangon","Membro","Masculino","Acessórios de moda",490.0599,5,1225.14975,2681.0245,"2/20/2019","15:55","Cartão de crédito",230.725,9
"157","279-74-2924","B","Mandalay","Membro","Masculino","Acessórios eletrônicos",383.2227,1,191.61135,419.3077,"01/04/2019","19:40","Dinheiro",36.085,6.1
"158","307-85-2293","B","Mandalay","Normal","Masculino","Lar e estilo de vida",266.9868,5,66.7467,1347.504,"03/07/2019","13:58","Carteira eletrônica",12.57,9.7
"159","743-04-1105","B","Mandalay","Membro","Masculino","Saúde e beleza",516.2382,9,232.30719,4689.8928,"3/30/2019","14:43","Carteira eletrônica",43.749,6
"160","423-57-2993","B","Mandalay","Normal","Masculino","Viagens e sports",495.9009,6,148.77027,3003.4224,"3/27/2019","19:18","Carteira eletrônica",28.017,10
"161","894-41-5205","C","Naypyitaw","Normal","Feminino","Acessórios de moda",229.2858,8,91.71432,1851.5584,"1/19/2019","19:39","Cartão de crédito",17.272,8.3
"162","275-28-0149","A","Yangon","Normal","Masculino","Viagens e sports",338.1939,1,169.09695,370.0389,"2/25/2019","16:21","Dinheiro",31.845,6
"163","101-17-6199","A","Yangon","Normal","Masculino","Acessórios de moda",243.1449,7,851.00715,1862.2793,"3/13/2019","19:44","Cartão de crédito",160.265,7
"164","423-80-0988","C","Naypyitaw","Normal","Masculino","Viagens e sports",405.684,2,40.5684,819.008,"1/30/2019","19:42","Carteira eletrônica",7.64,6.5
"165","548-46-9322","B","Mandalay","Normal","Masculino","Acessórios de moda",211.869,10,105.9345,2138.64,"2/20/2019","15:24","Cartão de crédito",19.95,5.9
"166","505-02-0892","B","Mandalay","Membro","Masculino","Saúde e beleza",226.0467,8,90.41868,1825.4016,"2/25/2019","14:12","Carteira eletrônica",17.028,5.6
